id_usuario_atendio,fecha_hora_registro,observacion,observacion_conductor,valoracion,valoracion_conductor,CalificacionClientes,ComentarioConductor
2468,2022-08-01 03:53:10,   Atento y cordial  Viaje agradable  Puntualidad  Wifi/carga de celulares  Servicio de llamadas, ,1,1.0,Positivo,Neutral
19024,2022-08-01 03:53:38,Kua no me voy, ,0,0.0,Neutral,Neutral
26008,2022-08-01 03:54:49, Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
9197,2022-08-01 03:57:49,Rjtjr, ,0,0.0,Neutral,Neutral
3193,2022-08-01 04:04:40, Puntualidad, ,1,0.0,Neutral,Neutral
18461,2022-08-01 04:05:47, Atento y cordial  Viaje agradable  Puntualidad  Wifi/carga de celulares  Servicio de llamadas, ,1,1.0,Positivo,Neutral
27354,2022-08-01 04:10:28,Buen servicio  , ,0,0.0,Positivo,Neutral
14080,2022-08-01 04:13:48,   Viaje agradable  Puntualidad  Atento y cordial  Servicio de llamadas  Wifi/carga de celulares, ,1,0.0,Positivo,Neutral
22713,2022-08-01 04:14:31,   Puntualidad, ,1,4.0,Neutral,Neutral
27001,2022-08-01 04:16:09, Atento y cordial  Viaje agradable  Puntualidad, ,1,1.0,Positivo,Neutral
25144,2022-08-01 04:18:21,Me dejó  , ,5,0.0,Negativo,Neutral
25573,2022-08-01 04:18:22, Viaje agradable, ,1,0.0,Positivo,Neutral
26929,2022-08-01 04:20:40,Excelente  , ,1,1.0,Positivo,Neutral
19075,2022-08-01 04:21:19, Presentación personal, ,2,1.0,Neutral,Neutral
26162,2022-08-01 04:23:36,   Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
6436,2022-08-01 04:24:58,gracias  , ,1,0.0,Positivo,Neutral
26474,2022-08-01 04:25:30, Atento y cordial  Viaje agradable  Puntualidad, ,1,1.0,Positivo,Neutral
13626,2022-08-01 04:29:37,   Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
26463,2022-08-01 04:29:49,Buen servcio, ,0,0.0,Positivo,Neutral
20682,2022-08-01 04:30:43, Atento y cordial, ,1,1.0,Positivo,Neutral
25646,2022-08-01 04:30:57, Atento y cordial, ,1,0.0,Positivo,Neutral
26474,2022-08-01 04:32:41,Ok  Puntualidad, ,1,1.0,Positivo,Neutral
8979,2022-08-01 03:47:27,   Atento y cordial  Viaje agradable, ,1,1.0,Positivo,Neutral
20069,2022-08-01 04:33:38,   Atento y cordial, ,1,0.0,Positivo,Neutral
9306,2022-08-01 04:36:07, Atento y cordial  Viaje agradable  Puntualidad, ,1,1.0,Positivo,Neutral
7915,2022-08-01 04:41:11,   Atento y cordial, ,1,0.0,Positivo,Neutral
11807,2022-08-01 04:41:32,Buena , ,0,0.0,Positivo,Neutral
15352,2022-08-01 04:41:25,no llegoooooooooooo, ,0,0.0,Neutral,Neutral
2827,2022-08-01 04:43:40,No nllega  , ,0,0.0,Neutral,Neutral
21411,2022-08-01 04:37:46,   Atento y cordial  Viaje agradable  Puntualidad  Wifi/carga de celulares  Servicio de llamadas, ,1,1.0,Positivo,Neutral
15870,2022-08-01 04:44:26,Ok , ,1,0.0,Positivo,Neutral
25646,2022-08-01 04:45:13,Nddndfn, ,0,,Neutral,Neutral
15522,2022-08-01 04:45:47,   Atento y cordial, ,1,0.0,Positivo,Neutral
29809,2022-08-01 04:46:33,No necesito, ,0,0.0,Neutral,Neutral
25413,2022-08-01 04:48:59, Puntualidad, ,1,1.0,Neutral,Neutral
24614,2022-08-01 04:48:47, Puntualidad, ,1,1.0,Neutral,Neutral
28949,2022-08-01 04:49:31,   Atento y cordial, ,1,0.0,Positivo,Neutral
21105,2022-08-01 04:49:45,10 , ,0,1.0,Neutral,Neutral
29448,2022-08-01 04:51:58, Puntualidad, ,1,1.0,Neutral,Neutral
27230,2022-08-01 04:53:10,   Viaje agradable, ,1,0.0,Positivo,Neutral
15325,2022-08-01 04:54:32,   Puntualidad, ,1,1.0,Neutral,Neutral
25804,2022-08-01 04:55:21,   Puntualidad, ,1,0.0,Neutral,Neutral
13075,2022-08-01 04:55:50,   Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
20060,2022-08-01 04:56:34,Llego 1 minuto tarde , ,2,0.0,Negativo,Neutral
23701,2022-08-01 05:02:47,   Atento y cordial, ,1,0.0,Positivo,Neutral
20634,2022-08-01 04:32:03,   Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
1150,2022-08-01 05:01:17, Viaje agradable, ,1,0.0,Positivo,Neutral
26463,2022-08-01 05:00:23,Buen servicio, ,0,0.0,Positivo,Neutral
7915,2022-08-01 04:59:16,   Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
25413,2022-08-01 05:02:32, Atento y cordial  Viaje agradable  Puntualidad, ,1,1.0,Positivo,Neutral
19137,2022-08-01 05:04:30,   Atento y cordial, ,1,0.0,Positivo,Neutral
27649,2022-08-01 05:06:07,H , ,0,0.0,Neutral,Neutral
27849,2022-08-01 05:07:54, Puntualidad, ,1,0.0,Neutral,Neutral
18148,2022-08-01 05:09:32,Cancelada por Call Center., ,0,1.0,Negativo,Neutral
12115,2022-08-01 05:08:55,No necesito, ,0,0.0,Neutral,Neutral
13626,2022-08-01 05:10:09,La operadora cancela al tener unidad asignada., ,0,,Negativo,Neutral
23036,2022-08-01 05:11:28,   Puntualidad, ,1,0.0,Neutral,Neutral
10709,2022-08-01 05:11:07,Es prueba no dar tiempo, ,0,5.0,Neutral,Neutral
9236,2022-08-01 05:10:35,La operadora cancela al tener unidad asignada., ,0,0.0,Negativo,Neutral
4339,2022-08-01 05:13:00,   Atento y cordial, ,1,0.0,Positivo,Neutral
28099,2022-08-01 05:12:45,Cancelada por Call Center.,Auto con parrilla,0,0.0,Negativo,Neutral
19113,2022-08-01 05:12:48,Conductor sin cambio  , ,5,0.0,Neutral,Neutral
25804,2022-08-01 05:14:04,  aplastado mal, ,0,0.0,Negativo,Neutral
187,2022-08-01 05:14:06, Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
14593,2022-08-01 05:17:22,   Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
14128,2022-08-01 05:18:14,   Viaje agradable, ,1,0.0,Positivo,Neutral
27416,2022-08-01 05:19:53,   Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
28939,2022-08-01 05:20:05,Cobro en exceso , ,5,0.0,Negativo,Neutral
16462,2022-08-01 05:20:00,   Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
24538,2022-08-01 05:20:35,   Servicio de llamadas, ,1,0.0,Neutral,Neutral
18856,2022-08-01 05:26:57, Puntualidad, ,1,0.0,Neutral,Neutral
6241,2022-08-01 05:25:09,   Tener cambio (sueltos), ,2,1.0,Neutral,Neutral
13811,2022-08-01 05:23:52,...., ,0,0.0,Neutral,Neutral
16462,2022-08-01 05:28:55,Gracias  , ,1,0.0,Positivo,Neutral
16628,2022-08-01 05:30:48, Puntualidad, ,1,1.0,Neutral,Neutral
21085,2022-08-01 05:33:08,   Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
24424,2022-08-01 05:32:15, Puntualidad, ,1,0.0,Neutral,Neutral
26003,2022-08-01 05:33:25,   Atento y cordial, ,1,1.0,Positivo,Neutral
29514,2022-08-01 05:30:59,Nunca llegó    Nunca llegó, ,5,0.0,Negativo,Neutral
21376,2022-08-01 05:33:45,Demaciado tiempo, ,0,0.0,Neutral,Neutral
29501,2022-08-01 05:35:33,   Que se guíe mejor en el mapa, ,3,0.0,Negativo,Neutral
29362,2022-08-01 05:35:49, Música/Volumen  Presentación personal  Evitar el claxon  Wifi/carga de celulares, ,2,0.0,Neutral,Neutral
25164,2022-08-01 05:36:45, Llevó otro cliente, ,5,0.0,Negativo,Neutral
24104,2022-08-01 05:37:33, Viaje agradable, ,1,0.0,Positivo,Neutral
24107,2022-08-01 05:38:22, Atento y cordial  Viaje agradable  Puntualidad, ,1,1.0,Positivo,Neutral
3305,2022-08-01 05:43:00,   Puntualidad, ,1,0.0,Neutral,Neutral
15581,2022-08-01 05:42:30, Atento y cordial  Viaje agradable  Puntualidad, ,1,1.0,Positivo,Neutral
28134,2022-08-01 05:40:04,Solicitud por accidente , ,0,5.0,Negativo,Neutral
3486,2022-08-01 05:41:47,   Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
21376,2022-08-01 05:38:29,   Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
1813,2022-08-01 05:38:57, Puntualidad, ,1,0.0,Neutral,Neutral
4767,2022-08-01 05:43:30,Excelente persona , ,3,0.0,Positivo,Neutral
25054,2022-08-01 05:40:07,Muy bien  , ,0,0.0,Positivo,Neutral
20869,2022-08-01 05:42:48,   Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
4658,2022-08-01 05:40:24,Excelente servicio    Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
25804,2022-08-01 05:18:07,Uvycuv, ,0,0.0,Neutral,Neutral
787,2022-08-01 05:43:56, Atento y cordial, ,1,0.0,Positivo,Neutral
25684,2022-08-01 05:43:56,Servicio  , ,1,1.0,Neutral,Neutral
26095,2022-08-01 05:44:24, Viaje agradable  Puntualidad, ,1,1.0,Positivo,Neutral
23833,2022-08-01 05:46:09, Atento y cordial  Viaje agradable  Puntualidad, ,1,1.0,Positivo,Neutral
19066,2022-08-01 05:47:40, Atento y cordial  Viaje agradable  Puntualidad, ,1,1.0,Positivo,Neutral
22710,2022-08-01 05:48:10,   Atento y cordial  Puntualidad, ,1,0.0,Positivo,Neutral
8520,2022-08-01 05:48:16, Atento y cordial, ,1,0.0,Positivo,Neutral
4010,2022-08-01 05:48:27, Atento y cordial, ,1,0.0,Positivo,Neutral
26032,2022-08-01 05:49:15,No veo la unidad , ,0,0.0,Neutral,Neutral
18036,2022-08-01 05:49:41, Nunca llegó,"Se bajó Llanta

",5,0.0,Negativo,Neutral
23219,2022-08-01 05:50:07,Buen servicio puntual  , ,1,,Positivo,Neutral
16763,2022-08-01 05:50:10,   Atento y cordial  Viaje agradable  Puntualidad, ,1,1.0,Positivo,Neutral
22685,2022-08-01 05:50:19,   Servicio de llamadas, ,1,0.0,Neutral,Neutral
16627,2022-08-01 05:50:30, Puntualidad, ,1,1.0,Neutral,Neutral
3490,2022-08-01 05:53:59,   Puntualidad, ,1,0.0,Neutral,Neutral
16905,2022-08-01 05:54:27,Se fue el taxi   Nunca llegó, ,5,,Negativo,Neutral
26079,2022-08-01 05:54:23,   Cobro inadecuado, ,4,0.0,Negativo,Neutral
25082,2022-08-01 05:54:10,Irresponsable con su tiempo   Actitud desagradable, ,5,0.0,Negativo,Neutral
29447,2022-08-01 05:54:14,   Atento y cordial  Viaje agradable  Puntualidad, ,1,0.0,Positivo,Neutral
20037,2022-08-01 05:54:26, Atento y cordial  Viaje agradable  Puntualidad, ,1,1.0,Positivo,Neutral
26958,2022-08-01 05:51:47, Atento y cordial, ,1,0.0,Positivo,Neutral
8664,2022-08-01 05:52:05,Servicio lento  , ,5,3.0,Neutral,Neutral
29383,2022-08-01 05:51:54,   Viaje agradable, ,1,0.0,Positivo,Neutral
26096,2022-08-01 05:51:59,   Puntualidad, ,1,0.0,Neutral,Neutral
16996,2022-08-01 05:55:08,Mala dirección    Nunca llegó, ,5,0.0,Negativo,Neutral
